createdAt,value
2022-08-14 02:55:00.177000+00:00,17.0
2022-08-14 03:55:00.205000+00:00,16.5
2022-08-14 04:55:00.172000+00:00,16.7
2022-08-14 05:55:00.202000+00:00,19.0
2022-08-14 06:55:00.207000+00:00,22.6
2022-08-14 07:55:00.195000+00:00,25.4
2022-08-14 08:55:01.022000+00:00,27.6
2022-08-14 09:55:00.183000+00:00,29.4
2022-08-14 10:55:00.439000+00:00,31.0
2022-08-14 11:55:00.194000+00:00,31.9
2022-08-14 12:55:06.479000+00:00,30.8
2022-08-14 13:55:00.202000+00:00,32.6
2022-08-14 14:55:00.215000+00:00,31.8
2022-08-14 15:55:00.205000+00:00,31.3
2022-08-14 16:55:00.211000+00:00,30.6
2022-08-14 17:55:01.485000+00:00,29.2
2022-08-14 18:55:00.203000+00:00,26.8
2022-08-14 19:55:00.204000+00:00,24.5
2022-08-14 20:55:00.182000+00:00,22.9
2022-08-14 21:55:00.188000+00:00,22.1
2022-08-14 22:55:00.210000+00:00,21.5
2022-08-14 23:55:01.316000+00:00,21.1
2022-08-15 00:55:00.177000+00:00,20.4
2022-08-15 01:55:05.006000+00:00,19.6
2022-08-15 02:55:02.577000+00:00,19.4
2022-08-15 03:55:00.182000+00:00,19.4
2022-08-15 04:55:00.200000+00:00,18.5
2022-08-15 05:55:00.239000+00:00,21.0
2022-08-15 06:55:00.201000+00:00,24.1
2022-08-15 07:55:00.199000+00:00,24.4
2022-08-15 08:55:00.738000+00:00,26.0
2022-08-15 09:55:00.216000+00:00,27.0
2022-08-15 10:45:02.722000+00:00,26.6
2022-08-15 11:55:00.200000+00:00,26.9
2022-08-15 12:55:01.294000+00:00,27.5
2022-08-15 13:55:01.316000+00:00,27.6
2022-08-15 14:55:00.286000+00:00,27.4
2022-08-15 15:55:05.861000+00:00,26.5
2022-08-15 16:55:00.185000+00:00,25.8
2022-08-15 17:55:02.696000+00:00,25.2
2022-08-15 18:55:09.238000+00:00,24.5
2022-08-15 19:55:39.138000+00:00,24.2
2022-08-15 20:55:00.143000+00:00,23.7
2022-08-15 21:55:00.174000+00:00,23.3
2022-08-15 22:55:00.181000+00:00,22.8
2022-08-15 23:55:00.182000+00:00,22.1
2022-08-16 00:55:00.184000+00:00,20.7
2022-08-16 01:55:00.183000+00:00,19.6
2022-08-16 02:55:00.197000+00:00,18.6
2022-08-16 03:55:00.206000+00:00,17.1
2022-08-16 04:55:00.183000+00:00,17.1
2022-08-16 05:55:01.476000+00:00,21.3
2022-08-16 06:55:00.204000+00:00,21.8
2022-08-16 07:55:00.198000+00:00,24.3
2022-08-16 08:55:00.215000+00:00,26.4
2022-08-16 09:55:00.210000+00:00,28.3
2022-08-16 10:55:41.062000+00:00,28.9
2022-08-16 11:55:00.496000+00:00,29.3
2022-08-16 12:55:00.198000+00:00,30.5
2022-08-16 13:55:00.195000+00:00,29.4
2022-08-16 14:55:00.218000+00:00,28.6
2022-08-16 15:55:00.364000+00:00,28.1
2022-08-16 16:55:00.172000+00:00,26.7
2022-08-16 17:55:00.196000+00:00,26.3
2022-08-16 18:55:03.096000+00:00,24.4
2022-08-16 19:55:00.196000+00:00,23.1
2022-08-16 20:55:00.155000+00:00,22.0
2022-08-16 21:55:00.177000+00:00,21.1
2022-08-16 22:55:00.187000+00:00,20.8
2022-08-16 23:55:00.203000+00:00,20.5
2022-08-17 00:55:00.151000+00:00,19.9
2022-08-17 01:55:00.174000+00:00,19.2
2022-08-17 02:55:00.196000+00:00,19.1
2022-08-17 03:55:00.207000+00:00,19.3
2022-08-17 04:55:00.199000+00:00,19.3
2022-08-17 05:55:00.224000+00:00,19.5
2022-08-17 06:55:00.247000+00:00,20.2
2022-08-17 07:55:00.222000+00:00,21.4
2022-08-17 08:55:00.235000+00:00,22.1
2022-08-17 09:55:00.210000+00:00,24.6
2022-08-17 10:55:00.210000+00:00,23.7
2022-08-17 11:55:17.736000+00:00,23.9
2022-08-17 12:55:00.213000+00:00,22.8
2022-08-17 13:55:00.215000+00:00,21.2
2022-08-17 14:55:00.223000+00:00,21.6
2022-08-17 15:55:00.310000+00:00,21.9
2022-08-17 16:55:00.200000+00:00,20.9
2022-08-17 17:55:00.211000+00:00,20.9
2022-08-17 18:55:00.200000+00:00,19.5
2022-08-17 19:55:00.157000+00:00,19.7
2022-08-17 20:55:00.153000+00:00,19.5
2022-08-17 21:55:00.178000+00:00,18.8
2022-08-17 22:55:00.180000+00:00,18.5
2022-08-17 23:55:00.185000+00:00,18.0
2022-08-18 00:55:00.179000+00:00,18.0
2022-08-18 01:55:00.189000+00:00,18.0
2022-08-18 02:55:00.181000+00:00,18.1
2022-08-18 03:55:00.200000+00:00,18.1
2022-08-18 04:55:00.214000+00:00,18.1
2022-08-18 05:55:00.218000+00:00,18.4
2022-08-18 06:55:00.206000+00:00,19.4
2022-08-18 07:55:00.235000+00:00,22.1
2022-08-18 08:55:00.203000+00:00,23.5
2022-08-18 09:55:00.193000+00:00,24.1
2022-08-18 10:55:00.222000+00:00,24.0
2022-08-18 11:55:00.213000+00:00,22.3
2022-08-18 12:55:00.189000+00:00,22.4
2022-08-18 13:55:00.402000+00:00,23.5
2022-08-18 14:55:00.152000+00:00,24.6
2022-08-18 15:55:02.198000+00:00,26.7
2022-08-18 16:55:00.202000+00:00,24.4
2022-08-18 17:55:00.195000+00:00,23.4
2022-08-18 18:55:00.187000+00:00,21.9
2022-08-18 19:55:00.202000+00:00,20.4
2022-08-18 20:55:00.191000+00:00,19.2
2022-08-18 21:55:00.161000+00:00,18.4
2022-08-18 22:55:00.671000+00:00,17.6
2022-08-18 23:55:00.178000+00:00,16.9
2022-08-19 00:55:00.173000+00:00,16.1
2022-08-19 01:55:00.154000+00:00,15.8
2022-08-19 02:55:00.165000+00:00,15.8
2022-08-19 03:55:00.160000+00:00,15.6
2022-08-19 04:55:00.201000+00:00,15.0
2022-08-19 05:55:00.210000+00:00,17.4
2022-08-19 06:55:00.183000+00:00,20.9
2022-08-19 07:55:00.198000+00:00,22.0
2022-08-19 08:55:00.194000+00:00,23.1
2022-08-19 09:55:00.545000+00:00,25.0
2022-08-19 10:55:05.448000+00:00,25.8
2022-08-19 11:55:00.264000+00:00,25.9
2022-08-19 12:55:00.232000+00:00,27.5
2022-08-19 13:55:00.249000+00:00,26.0
2022-08-19 14:55:00.185000+00:00,22.7
2022-08-19 15:55:00.187000+00:00,21.9
2022-08-19 16:55:00.202000+00:00,22.5
2022-08-19 17:55:00.191000+00:00,21.8
2022-08-19 18:55:00.207000+00:00,21.0
2022-08-19 19:55:00.208000+00:00,20.5
2022-08-19 20:55:00.195000+00:00,20.4
2022-08-19 21:55:00.187000+00:00,19.7
2022-08-19 22:55:00.175000+00:00,19.3
2022-08-19 23:55:00.161000+00:00,19.0
2022-08-20 00:55:00.177000+00:00,18.9
2022-08-20 01:55:00.192000+00:00,18.6
2022-08-20 02:55:00.183000+00:00,18.4
2022-08-20 03:55:00.188000+00:00,18.2
2022-08-20 04:55:00.188000+00:00,17.6
2022-08-20 05:55:00.147000+00:00,17.8
2022-08-20 06:55:00.303000+00:00,18.3
2022-08-20 07:55:00.198000+00:00,20.7
2022-08-20 08:55:00.197000+00:00,22.6
2022-08-20 09:55:00.173000+00:00,22.0
2022-08-20 10:55:00.211000+00:00,23.1
2022-08-20 11:55:00.210000+00:00,23.2
2022-08-20 12:55:00.236000+00:00,26.0
2022-08-20 13:55:00.149000+00:00,25.9
2022-08-20 14:55:00.169000+00:00,24.2
2022-08-20 15:55:00.201000+00:00,25.8
2022-08-20 16:55:00.202000+00:00,24.2
2022-08-20 17:55:00.160000+00:00,21.6
2022-08-20 18:55:00.210000+00:00,20.3
2022-08-20 19:55:03.834000+00:00,18.2
2022-08-20 20:55:00.177000+00:00,17.1
2022-08-20 21:55:00.162000+00:00,16.0
2022-08-20 22:15:00.153000+00:00,15.7
2022-08-20 22:55:00.149000+00:00,15.6
2022-08-20 23:55:00.274000+00:00,15.1
2022-08-21 00:55:00.192000+00:00,14.5
2022-08-21 01:55:00.172000+00:00,14.1
2022-08-21 02:55:00.171000+00:00,14.1
2022-08-21 03:55:00.188000+00:00,13.5
2022-08-21 04:55:00.187000+00:00,13.6
2022-08-21 05:55:00.216000+00:00,16.0
2022-08-21 06:55:00.206000+00:00,19.4
2022-08-21 07:55:04.141000+00:00,19.9
2022-08-21 08:55:00.553000+00:00,21.9
2022-08-21 09:55:00.215000+00:00,24.4
2022-08-21 10:55:00.216000+00:00,23.5
2022-08-21 11:55:00.211000+00:00,25.7
2022-08-21 12:55:00.193000+00:00,25.8
2022-08-21 16:55:00.204000+00:00,22.1
2022-08-21 17:55:00.172000+00:00,21.4
2022-08-21 18:55:05.943000+00:00,20.3
2022-08-21 19:55:00.164000+00:00,19.5
2022-08-21 20:55:00.203000+00:00,18.3
2022-08-21 21:55:00.166000+00:00,17.2
2022-08-21 22:55:00.200000+00:00,16.9
2022-08-21 23:55:00.146000+00:00,16.8
2022-08-22 00:55:00.176000+00:00,16.5
2022-08-22 01:55:00.163000+00:00,16.5
2022-08-22 02:55:00.169000+00:00,16.2
2022-08-22 03:55:00.200000+00:00,16.0
2022-08-22 04:55:00.182000+00:00,16.0
2022-08-22 05:55:00.205000+00:00,16.2
2022-08-22 06:55:00.191000+00:00,17.0
2022-08-22 07:55:00.185000+00:00,19.6
2022-08-22 08:55:00.232000+00:00,22.6
2022-08-22 09:55:00.191000+00:00,23.5
2022-08-22 10:45:00.206000+00:00,26.2
2022-08-22 15:55:00.165000+00:00,28.1
2022-08-22 16:55:00.151000+00:00,27.0
2022-08-22 17:55:00.187000+00:00,24.3
2022-08-22 18:55:00.185000+00:00,23.3
2022-08-22 19:55:00.202000+00:00,21.1
2022-08-22 20:55:00.159000+00:00,20.0
2022-08-22 21:55:00.172000+00:00,18.7
2022-08-22 22:55:00.180000+00:00,17.6
2022-08-22 23:55:00.198000+00:00,16.8
2022-08-23 00:55:00.176000+00:00,16.2
2022-08-23 01:55:00.162000+00:00,15.8
2022-08-23 02:55:00.156000+00:00,15.4
2022-08-23 03:55:00.170000+00:00,15.1
2022-08-23 04:55:00.182000+00:00,14.7
2022-08-23 05:55:00.179000+00:00,16.8
2022-08-23 06:55:00.187000+00:00,19.1
2022-08-23 07:55:00.196000+00:00,21.9
2022-08-23 08:55:00.280000+00:00,27.1
2022-08-23 09:55:00.212000+00:00,28.2
2022-08-23 10:55:00.263000+00:00,29.8
2022-08-23 11:55:00.196000+00:00,28.9
2022-08-23 12:55:00.215000+00:00,29.0
2022-08-23 13:55:00.189000+00:00,29.0
2022-08-23 14:55:00.194000+00:00,30.5
2022-08-23 15:55:00.196000+00:00,29.4
2022-08-23 16:55:00.186000+00:00,29.2
2022-08-23 17:55:00.191000+00:00,27.5
2022-08-23 18:55:00.191000+00:00,24.7
